|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.007479958129576578 | -1.2478136505178197e-13 | 0.0 | -0.0024995765047140604 | 0.0 | -6.698111145200392e-07 | -1.653138083528153e-07 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.2478136505178197e-13 |   5.412503170279614e-24 | 0.0 |  6.555701803426708e-14 | 0.0 | -9.316505863678335e-18 | 2.8027945462894202e-18 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0024995765047140604 |   6.555701803426708e-14 | 0.0 |  0.0012384638768623858 | 0.0 | 2.4304523729281916e-07 | -4.109281708241296e-09 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -6.698111145200392e-07 |  -9.316505863678335e-18 | 0.0 | 2.4304523729281916e-07 | 0.0 |  5.226786861186148e-06 |  7.140005827788032e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -1.653138083528153e-07 |  2.8027945462894202e-18 | 0.0 | -4.109281708241296e-09 | 0.0 |  7.140005827788032e-08 |   3.87431138056375e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.00011684853120960982 | 8.818401024461103e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  8.818401024461103e-06 | 0.0001330429546816329 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
