|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |     0.00820024358955567 | -1.5606076538851642e-13 | 0.0 |  -0.003001034999934748 | 0.0 |   9.67724423921799e-07 | -2.3395582646655838e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.5606076538851642e-13 |  6.5042015735383694e-24 | 0.0 |   8.58717743798568e-14 | 0.0 | -5.390156047516615e-17 |  1.8897388843135863e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003001034999934748 |    8.58717743798568e-14 | 0.0 |  0.0016221296911332244 | 0.0 | -5.484055681924899e-07 |   2.431716823625064e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |    9.67724423921799e-07 |  -5.390156047516615e-17 | 0.0 | -5.484055681924899e-07 | 0.0 |  5.484278335526038e-06 |   9.447314787401985e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -2.3395582646655838e-07 |  1.8897388843135863e-17 | 0.0 |  2.431716823625064e-07 | 0.0 |  9.447314787401985e-08 |   4.033928572989222e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.00011471804829219036 |  9.928402747996466e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |  9.928402747996466e-06 | 0.00013426455589468075 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
