|                     Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.005143213245499217 | -7.150143969412094e-14 | 0.0 |  -0.0013622102343141245 | 0.0 | -1.7660600021912392e-07 |  2.3587133474142983e-07 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -7.150143969412094e-14 | 3.7132670019203804e-24 | 0.0 |   3.364699533254422e-14 | 0.0 |  -2.920163947298683e-17 |  3.5389721324250006e-17 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0013622102343141245 |  3.364699533254422e-14 | 0.0 |    0.000596149260856717 | 0.0 |  1.3622990539183955e-07 | -1.8038568232633874e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -1.7660600021912392e-07 | -2.920163947298683e-17 | 0.0 |  1.3622990539183955e-07 | 0.0 |   4.454391150965803e-06 |  1.7931873800957115e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  2.3587133474142983e-07 | 3.5389721324250006e-17 | 0.0 | -1.8038568232633874e-07 | 0.0 |  1.7931873800957115e-08 |  3.7117110535394598e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011687845823428208 | 8.841880173097428e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  8.841880173097428e-06 | 0.0001332382876740392 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
