|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |     0.00901854116294471 | -1.8976921974004574e-13 | 0.0 |   -0.003552436309696032 | 0.0 |  2.3030310959298584e-06 |   3.912279252849023e-07 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.8976921974004574e-13 |   7.699630536438406e-24 | 0.0 |  1.0630208644767786e-13 | 0.0 |  -5.754777663965394e-17 | -1.5005379868237422e-17 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003552436309696032 |  1.0630208644767786e-13 | 0.0 |   0.0019765789245016264 | 0.0 | -4.2848485830607104e-07 |  -3.412485333565184e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  2.3030310959298584e-06 |  -5.754777663965394e-17 | 0.0 | -4.2848485830607104e-07 | 0.0 |   5.027901043139415e-06 |  1.0154217664629646e-07 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   3.912279252849023e-07 | -1.5005379868237422e-17 | 0.0 |  -3.412485333565184e-07 | 0.0 |  1.0154217664629646e-07 |   3.894060337999812e-06 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0001149338397133567 | 8.903469449641239e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 8.903469449641239e-06 | 0.0001356572635708146 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
