|                     Parameters |                       0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.008106257730194352 | -1.652245304740785e-13 | 0.0 |  -0.003016961180550957 | 0.0 |  3.0216398466000897e-06 | -1.5318989861957568e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -1.652245304740785e-13 |   6.84277091875672e-24 | 0.0 |  9.004748855905356e-14 | 0.0 |   -4.57851768002136e-17 |   1.565462733969174e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003016961180550957 |  9.004748855905356e-14 | 0.0 |  0.0016578788351475453 | 0.0 |  -9.793260732349827e-07 |   -8.41709873315761e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  3.0216398466000897e-06 |  -4.57851768002136e-17 | 0.0 | -9.793260732349827e-07 | 0.0 |   5.389496974955067e-06 | -2.2783206178304375e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.5318989861957568e-07 |  1.565462733969174e-17 | 0.0 |  -8.41709873315761e-09 | 0.0 | -2.2783206178304375e-08 |   4.076802991573524e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011549739012663482 |  9.777332576278694e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  9.777332576278694e-06 | 0.00013326884996486121 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
