|                            Parameters |                       0 |                       1 |   2 |                       3 |   4 |                      5 |                       6 |   7 |   8 |                     9 |                    10 |  11 |                     12 |                    13 |  14 |
|                Crablog.spectral.index |    0.011981913206099629 | -2.9559684705266387e-13 | 0.0 |    -0.00535944306503252 | 0.0 | -9.245647147487569e-07 |   7.548962709086729e-07 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -2.9559684705266387e-13 |   2.976301989682954e-23 | 0.0 |  1.7939905322016443e-13 | 0.0 |  -1.64640220487704e-17 | -1.6605706915967096e-17 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |    -0.00535944306503252 |  1.7939905322016443e-13 | 0.0 |   0.0032033918804881246 | 0.0 | 1.7421893712360052e-07 | -2.0567218992167523e-07 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  -9.245647147487569e-07 |   -1.64640220487704e-17 | 0.0 |  1.7421893712360052e-07 | 0.0 |  5.499967533193335e-06 |  -8.700380148473492e-08 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |   7.548962709086729e-07 | -1.6605706915967096e-17 | 0.0 | -2.0567218992167523e-07 | 0.0 | -8.700380148473492e-08 |   4.311675476355332e-06 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |   0.01012945265088723 | 5.906729656087985e-07 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 5.906729656087985e-07 | 0.0004000001995911673 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 | 0.00011591565124258744 | 9.186026068943662e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |  9.186026068943662e-06 | 0.0001338087108596282 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
