|                            Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |   7 |   8 |                     9 |                    10 |  11 |                    12 |                     13 |  14 |
|                Crablog.spectral.index |   0.005807957814641045 |  -7.506149599530839e-14 | 0.0 | -0.0015372383111500682 | 0.0 |  -7.511705093764236e-07 |  1.050828926695649e-07 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -7.506149599530839e-14 |  1.4630152166089815e-23 | 0.0 | 3.5063128135472935e-14 | 0.0 | -2.5881120306423555e-17 |  6.128648879853965e-18 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ | -0.0015372383111500682 |  3.5063128135472935e-14 | 0.0 |  0.0006992679197313595 | 0.0 |  2.0588538814463344e-07 |  5.275073225670012e-08 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 | -7.511705093764236e-07 | -2.5881120306423555e-17 | 0.0 | 2.0588538814463344e-07 | 0.0 |   5.698787518901558e-06 | -4.333961746011322e-08 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  1.050828926695649e-07 |   6.128648879853965e-18 | 0.0 |  5.275073225670012e-08 | 0.0 |  -4.333961746011322e-08 |  4.222589918357537e-06 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |  0.010147684090799679 | 4.573232457705012e-07 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 4.573232457705012e-07 | 0.0004000007801499541 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 | 0.0001151859258188596 |   8.87608854402989e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |  8.87608854402989e-06 | 0.00013514862808709248 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
