|                            Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |   7 |   8 |                       9 |                      10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |    0.009170140876540792 | -1.9274295495130643e-13 | 0.0 |   -0.003603413352592449 | 0.0 |   3.340918600702037e-07 |  7.755507081569924e-07 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.9274295495130643e-13 |   2.142129477298485e-23 | 0.0 |   1.069233591391738e-13 | 0.0 |  -3.401441532091002e-17 |  2.601329084812481e-17 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.003603413352592449 |   1.069233591391738e-13 | 0.0 |    0.002028169984574777 | 0.0 | -3.7735830424879886e-07 | 1.6577198984296584e-07 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   3.340918600702037e-07 |  -3.401441532091002e-17 | 0.0 | -3.7735830424879886e-07 | 0.0 |   5.695995248229185e-06 |  6.561316887172747e-08 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |   7.755507081569924e-07 |   2.601329084812481e-17 | 0.0 |  1.6577198984296584e-07 | 0.0 |   6.561316887172747e-08 | 3.9750842264441955e-06 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |    0.010144025921579748 | -2.5742875449396444e-07 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | -2.5742875449396444e-07 |   0.0003999999092375146 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.00011530533849476039 |  8.287298654705086e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |  8.287298654705086e-06 | 0.00013573811189332156 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
