|                            Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |                     9 |                    10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |    0.009040315838764815 | -2.2198853119125615e-13 | 0.0 |  -0.0037455671749537615 | 0.0 |   8.092319585964944e-07 |  1.1266864886342528e-07 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -2.2198853119125615e-13 |  2.9119754335335485e-23 | 0.0 |  1.2926670721611402e-13 | 0.0 | -3.3769809068606124e-17 | -2.5204603038383256e-17 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.0037455671749537615 |  1.2926670721611402e-13 | 0.0 |   0.0021536658660659723 | 0.0 | -4.1483710363386197e-07 | -2.0096483382963773e-07 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   8.092319585964944e-07 | -3.3769809068606124e-17 | 0.0 | -4.1483710363386197e-07 | 0.0 |  4.9085349293825096e-06 | -1.0312795853576839e-07 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  1.1266864886342528e-07 | -2.5204603038383256e-17 | 0.0 | -2.0096483382963773e-07 | 0.0 | -1.0312795853576839e-07 |   3.942256384232572e-06 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |  0.010142522971071091 | 5.048890669712994e-07 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 5.048890669712994e-07 | 0.0004000000249070532 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 | 0.00011628117244877326 | 1.0285775223797454e-05 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 | 1.0285775223797454e-05 | 0.00013213454124356614 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
