|                           Parameters |                       0 |   1 |                       2 |                       3 |                      4 |                       5 |                      6 |                      7 |   8 |   9 |  10 |                     11 |                     12 |  13 |
|           Crablog.spectral.amplitude |  1.6566788618651212e-23 | 0.0 |  -7.909094109246551e-15 |   1.592823178064532e-14 | -6.226362226441635e-18 | -2.1073050228061508e-18 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               Crablog.spectral.alpha |  -7.909094109246551e-15 | 0.0 |   0.0008400026738104497 | -0.00032789559567119887 |  5.322997314182032e-08 | -1.1338232651282503e-08 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.beta |   1.592823178064532e-14 | 0.0 | -0.00032789559567119887 |   0.0007992521409554475 |  1.492964599831392e-08 | -2.6355773213873383e-10 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lon_0 |  -6.226362226441635e-18 | 0.0 |   5.322997314182032e-08 |   1.492964599831392e-08 | 1.1645160803878855e-06 |  -8.758659048007756e-11 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lat_0 | -2.1073050228061508e-18 | 0.0 | -1.1338232651282503e-08 | -2.6355773213873383e-10 | -8.758659048007756e-11 |   8.726257927314804e-07 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           c7zgYcRb-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |  2.485256447301049e-05 | 2.0465815157652337e-06 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           c7zgYcRb-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 2.0465815157652337e-06 | 2.8866285459292893e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      c7zgYcRb-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       c7zgYcRb-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| c7zgYcRb-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           c7zgYcRb-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |   0.010657455103931568 | -2.550830499933217e-06 | 0.0 |
|           c7zgYcRb-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | -2.550830499933217e-06 |  0.0004000006322024174 | 0.0 |
|      c7zgYcRb-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
