|                           Parameters |                       0 |   1 |                      2 |                       3 |                       4 |                       5 |                      6 |                      7 |   8 |   9 |  10 |                     11 |                     12 |  13 |
|           Crablog.spectral.amplitude |  1.8343979129180482e-23 | 0.0 | -1.855433417450668e-15 |   3.718715093794627e-15 | -1.4856778728238597e-18 | -3.8762177898952224e-18 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               Crablog.spectral.alpha |  -1.855433417450668e-15 | 0.0 | 0.00018165066679939724 |  -7.169024201436639e-05 |  1.1249376345140774e-08 |  -2.573077887725269e-09 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.beta |   3.718715093794627e-15 | 0.0 | -7.169024201436639e-05 |   0.0001730638126216501 |  3.0224215702427566e-09 | -1.6557627079873285e-10 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lon_0 | -1.4856778728238597e-18 | 0.0 | 1.1249376345140774e-08 |  3.0224215702427566e-09 |  2.5089520030020045e-07 | -2.3104807683954495e-11 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lat_0 | -3.8762177898952224e-18 | 0.0 | -2.573077887725269e-09 | -1.6557627079873285e-10 | -2.3104807683954495e-11 |  1.8800621327506154e-07 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           nQturAHg-bkg.spectral.norm |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |  5.354442933728226e-06 | 4.4205083818836307e-07 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           nQturAHg-bkg.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 | 4.4205083818836307e-07 |  6.219306193986779e-06 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      nQturAHg-bkg.spectral.reference |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       nQturAHg-irf.e_reco_model.bias |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| nQturAHg-irf.e_reco_model.resolution |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           nQturAHg-irf.spectral.norm |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |   0.012246753285254541 | -8.198512239333876e-06 | 0.0 |
|           nQturAHg-irf.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | -8.198512239333876e-06 |   0.000400005517367703 | 0.0 |
|      nQturAHg-irf.spectral.reference |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
