|                           Parameters |                       0 |   1 |                       2 |                      3 |                       4 |                       5 |                     6 |                     7 |   8 |   9 |  10 |                     11 |                     12 |  13 |
|           Crablog.spectral.amplitude |  2.6342010746497975e-22 | 0.0 | -1.2525124676452606e-12 | 3.2380038690848193e-12 | -1.3915880179686814e-15 |  2.6461375162855866e-15 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               Crablog.spectral.alpha | -1.2525124676452606e-12 | 0.0 |     0.13770606754844839 |   -0.06362012565858935 |  -5.723831051832986e-05 |  0.00018899177476581507 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.beta |  3.2380038690848193e-12 | 0.0 |    -0.06362012565858935 |    0.12730060378966324 |   6.122715109082785e-05 |   -4.83344249354185e-06 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lon_0 | -1.3915880179686814e-15 | 0.0 |  -5.723831051832986e-05 |  6.122715109082785e-05 |  0.00016935042314227114 | -2.8108304874321666e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lat_0 |  2.6461375162855866e-15 | 0.0 |  0.00018899177476581507 |  -4.83344249354185e-06 | -2.8108304874321666e-05 |  0.00011180271481474385 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           8InalPIJ-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |  0.004948843866567881 | 0.0006022962198799746 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           8InalPIJ-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0006022962198799746 |  0.006485350990693178 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      8InalPIJ-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       8InalPIJ-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| 8InalPIJ-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           8InalPIJ-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |   0.010003266188763085 | 3.5750754832020204e-07 | 0.0 |
|           8InalPIJ-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 3.5750754832020204e-07 | 0.00040005711078877035 | 0.0 |
|      8InalPIJ-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
