|                           Parameters |                       0 |   1 |                       2 |                      3 |                      4 |                       5 |                      6 |                      7 |   8 |   9 |  10 |                      11 |                      12 |  13 |
|           Crablog.spectral.amplitude |  2.1083401513282735e-23 | 0.0 |  -9.455936427754272e-16 | 1.8621848592051656e-15 | -4.804300716928202e-18 | -4.3562502226664496e-17 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               Crablog.spectral.alpha |  -9.455936427754272e-16 | 0.0 |   8.394953894464831e-05 | -3.319165619546567e-05 |  5.198551856219504e-09 | -3.4814977622324773e-09 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                Crablog.spectral.beta |  1.8621848592051656e-15 | 0.0 |  -3.319165619546567e-05 |  7.924700802529637e-05 | 1.4680225360879624e-09 |   6.677494984104464e-10 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                Crablog.spatial.lon_0 |  -4.804300716928202e-18 | 0.0 |   5.198551856219504e-09 | 1.4680225360879624e-09 |   1.16667242208606e-07 |  1.1325236701215747e-10 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                Crablog.spatial.lat_0 | -4.3562502226664496e-17 | 0.0 | -3.4814977622324773e-09 |  6.677494984104464e-10 | 1.1325236701215747e-10 |   8.722470442115782e-08 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           PRBnIJZF-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |  2.484181179986851e-06 | 2.0222241629771725e-07 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           PRBnIJZF-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 | 2.0222241629771725e-07 | 2.8932602076448416e-06 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      PRBnIJZF-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       PRBnIJZF-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| PRBnIJZF-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           PRBnIJZF-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |    0.014154689109044702 | -1.7684218849430615e-05 | 0.0 |
|           PRBnIJZF-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | -1.7684218849430615e-05 |   0.0004000227235049809 | 0.0 |
|      PRBnIJZF-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
