|                           Parameters |                       0 |   1 |                       2 |                      3 |                       4 |                       5 |                      6 |                     7 |   8 |   9 |  10 |                    11 |                    12 |  13 |
|           Crablog.spectral.amplitude |  1.5744899609762944e-23 | 0.0 |   -1.57535198863307e-14 | 2.8348220051468342e-14 |  -5.827715302034846e-18 | -4.3306457876322685e-17 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|               Crablog.spectral.alpha |   -1.57535198863307e-14 | 0.0 |    0.001815905518136339 | -0.0007375511595326969 |  4.0641341545263693e-07 | -1.8764147045235794e-07 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.beta |  2.8348220051468342e-14 | 0.0 |  -0.0007375511595326969 |   0.001432386597312785 |  -3.435075995967846e-07 |   7.482875174688808e-08 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                Crablog.spatial.lon_0 |  -5.827715302034846e-18 | 0.0 |  4.0641341545263693e-07 | -3.435075995967846e-07 |  2.4462204434141548e-06 | -2.7368996646783205e-08 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                Crablog.spatial.lat_0 | -4.3306457876322685e-17 | 0.0 | -1.8764147045235794e-07 |  7.482875174688808e-08 | -2.7368996646783205e-08 |   1.965371721238592e-06 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           swe4o9YQ-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 | 5.3989795161488236e-05 | 4.583183491151458e-06 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           swe4o9YQ-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |  4.583183491151458e-06 | 6.143159344535739e-05 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      swe4o9YQ-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       swe4o9YQ-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| swe4o9YQ-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           swe4o9YQ-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |  0.010298381534887062 | -4.89818894342385e-07 | 0.0 |
|           swe4o9YQ-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | -4.89818894342385e-07 | 0.0004000018058196387 | 0.0 |
|      swe4o9YQ-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
