|                            Parameters |                       0 |                       1 |   2 |                       3 |                       4 |                       5 |                       6 |   7 |   8 |   9 |                      10 |                      11 |  12 |
|               gQP4SiG_.spectral.index |    0.003554712380809506 |  4.1647929571261204e-15 | 0.0 | -1.4358577774536288e-07 |  1.1032987581193286e-08 |  -4.133929138594829e-05 | -5.9010975240599146e-05 | 0.0 | 0.0 | 0.0 | -1.3217768459270868e-05 | -0.00022018495129836517 | 0.0 |
|           gQP4SiG_.spectral.amplitude |  4.1647929571261204e-15 |   6.407739796151969e-26 | 0.0 | -2.8908533655503907e-19 |  -5.183842343088553e-19 | -1.3362576118292438e-16 |  -9.024144969814984e-17 | 0.0 | 0.0 | 0.0 | -2.3168722360838354e-14 |  1.3048345718732633e-17 | 0.0 |
|           gQP4SiG_.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                gQP4SiG_.spatial.lon_0 | -1.4358577774536288e-07 | -2.8908533655503907e-19 | 0.0 |  4.6533439362548164e-06 | -2.6992157429706444e-11 |  1.1974177602422571e-08 |   3.844571908438166e-09 | 0.0 | 0.0 | 0.0 |   8.599658974292294e-10 |   1.912137573711158e-09 | 0.0 |
|                gQP4SiG_.spatial.lat_0 |  1.1032987581193286e-08 |  -5.183842343088553e-19 | 0.0 | -2.6992157429706444e-11 |   4.005218260228541e-06 | -1.7477013099584312e-09 |  -4.359101703446454e-09 | 0.0 | 0.0 | 0.0 |  1.5268187280541923e-07 |   4.833769026458333e-10 | 0.0 |
|           dataset N-bkg.spectral.norm |  -4.133929138594829e-05 | -1.3362576118292438e-16 | 0.0 |  1.1974177602422571e-08 | -1.7477013099584312e-09 |   0.0003361678095358124 |  0.00021021039481479285 | 0.0 | 0.0 | 0.0 |  3.6805332014296666e-06 |  -6.447379051316785e-08 | 0.0 |
|           dataset N-bkg.spectral.tilt | -5.9010975240599146e-05 |  -9.024144969814984e-17 | 0.0 |   3.844571908438166e-09 |  -4.359101703446454e-09 |  0.00021021039481479285 |  0.00024183770381729997 | 0.0 | 0.0 | 0.0 |  3.3286918437599653e-06 |  -8.168484994377772e-08 | 0.0 |
|      dataset N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance | -1.3217768459270868e-05 | -2.3168722360838354e-14 | 0.0 |   8.599658974292294e-10 |  1.5268187280541923e-07 |  3.6805332014296666e-06 |  3.3286918437599653e-06 | 0.0 | 0.0 | 0.0 |    0.010134309781993568 |  -4.010766926925684e-08 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance | -0.00022018495129836517 |  1.3048345718732633e-17 | 0.0 |   1.912137573711158e-09 |   4.833769026458333e-10 |  -6.447379051316785e-08 |  -8.168484994377772e-08 | 0.0 | 0.0 | 0.0 |  -4.010766926925684e-08 |  0.00022450346821528043 | 0.0 |
|      dataset N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
